Repair_Time-Hours,Total_Repair_Cost_PHP
6.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
3.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
2.3,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
1.8,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
8.4,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
8.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
7.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
4.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
6.0,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
7.0,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.3,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
8.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
1.3,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
8.1,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
2.2,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
3.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
4.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
7.0,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
6.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
2.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
1.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
6.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
4.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
8.4,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.3,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.8,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
2.6,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
8.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.8,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.2,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.4,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
6.6,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
7.3,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
1.6,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
4.1,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
5.8,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
3.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
1.1,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
6.0,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
2.7,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
7.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.4,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
7.9,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
9.5,error: Please use field('Repair_Time_Hours') to access Repair_Time_Hours because it starts with an upper case letter.
