device_age_months,parts_cost_php,labor_hours,total_repair_cost_php
42,3784.46,1.7,4485.46
24,3240.37,3.6,4165.37
25,9078.92,8.5,13773.92
6,9571.74,4.5,11349.74
41,1127.8,9.5,5583.8
8,6014.93,3.7,9291.93
58,9651.79,1.2,11817.79
1,6046.95,4.6,6399.95
17,6359.98,3.8,8309.98
44,4619.93,8.6,11024.93
51,7492.99,9.9,13610.99
28,9666.35,8.6,15949.35
42,4038.17,4.4,7728.17
17,2768.43,5.7,4769.43
42,7956.54,6.5,11713.54
54,2386.36,9.6,5949.36
52,9098.41,8.8,15358.41
32,2997.68,8.3,6172.68
50,1171.57,5.4,2642.57
9,695.78,7.9,2860.78
13,2854.23,1.0,4569.23
32,3668.4,9.9,10229.4
11,5026.16,3.6,6332.16
43,2007.96,8.2,5500.96
20,4578.34,6.4,8440.34
46,8506.71,8.5,12797.71
5,9015.41,7.5,13848.41
48,3694.74,4.0,5368.74
26,693.01,5.2,4572.01
50,9501.58,6.4,12197.58
24,2863.23,2.2,3751.23
55,5076.04,5.1,7004.04
12,8446.57,3.1,10669.57
42,2150.04,5.1,4727.04
46,5570.63,8.6,12090.63
47,3774.45,4.4,5099.45
16,771.44,7.8,3430.44
60,8678.63,8.6,13467.63
7,1029.47,4.9,5123.47
14,2495.77,5.2,4825.77
33,6153.77,5.2,8265.77
52,943.0,7.6,5370.0
32,7821.91,5.1,9316.91
45,6034.22,4.9,7579.22
45,9749.85,3.7,10717.85
18,4379.53,7.5,6726.53
3,4599.63,8.4,7560.63
47,8990.9,8.5,13244.9
50,3405.13,6.4,5838.13
43,9592.33,5.7,12955.33
41,6995.24,10.0,10717.24
52,8344.02,7.5,12248.02
41,7582.66,3.7,10330.66
55,2066.42,6.7,5006.42
49,7699.33,2.0,8839.33
46,4523.49,3.2,4702.49
20,2039.97,6.9,7538.97
19,1043.5,6.2,2514.5
3,4277.59,3.4,5774.59
42,902.31,7.5,3917.31
58,1907.42,8.8,6585.42
19,3791.3,3.4,5516.3
9,7786.23,6.9,11215.23
49,6273.91,1.6,6753.91
56,4352.22,3.2,8291.22
37,8359.49,2.3,10280.49
17,613.63,10.0,6037.63
19,778.19,8.5,5578.19
2,639.08,2.8,444.08
20,2264.53,3.9,3492.53
49,6428.28,7.6,10626.28
20,3983.07,9.0,9376.07
47,6980.07,4.7,10878.07
37,7352.51,2.0,7404.51
40,8973.52,1.8,9981.52
30,8627.13,9.1,13123.13
31,6478.28,3.5,10069.28
12,7375.69,3.5,7883.69
32,6365.17,6.5,10323.17
3,1271.96,7.4,3183.96
29,9069.99,3.6,12136.99
39,5979.37,7.9,8571.37
58,7083.4,2.2,10562.4
29,628.81,5.1,4418.81
8,1287.38,3.0,1156.38
6,4724.42,6.4,9875.42
58,9715.5,7.1,12064.5
15,9649.07,9.6,16448.07
35,4710.64,7.6,10829.64
31,9503.23,7.3,11846.23
20,1968.16,3.8,3035.16
34,7332.27,1.4,6582.27
13,4982.59,7.9,9327.59
34,8881.83,9.1,13553.83
29,1688.28,4.5,5742.28
19,6691.71,5.1,9812.71
6,3284.97,1.5,3878.97
3,1235.69,8.0,4721.69
17,3059.23,3.9,6860.23
16,9363.54,8.8,13160.54
