TransactionDate,Revenue
2022-01-01,2149.01
2022-01-02,1989.81
2022-01-03,2256.87
2022-01-04,2550.74
2022-01-05,2054.82
2022-01-06,2086.04
2022-01-07,2661.22
2022-01-08,2448.81
2022-01-09,2108.81
2022-01-10,2443.43
2022-01-11,2172.58
2022-01-12,2202.76
2022-01-13,2445.85
2022-01-14,1829.97
2022-01-15,1917.08
2022-01-16,2296.35
2022-01-17,2191.57
2022-01-18,2619.95
2022-01-19,2283.39
2022-01-20,2162.1
2022-01-21,3055.34
2022-01-22,2577.61
2022-01-23,2695.14
2022-01-24,2276.84
2022-01-25,2570.16
2022-01-26,2795.78
2022-01-27,2446.05
2022-01-28,2932.71
2022-01-29,2668.26
2022-01-30,2789.19
2022-01-31,2724.22
2022-02-01,3488.24
2022-02-02,2956.1
2022-02-03,2670.19
2022-02-04,3261.39
2022-02-05,2675.25
2022-02-06,3130.78
2022-02-07,2506.59
2022-02-08,2722.14
2022-02-09,3205.48
2022-02-10,3393.52
2022-02-11,3248.67
2022-02-12,3187.55
2022-02-13,3156.6
2022-02-14,2827.77
2022-02-15,3079.47
2022-02-16,3181.01
2022-02-17,3659.8
2022-02-18,3468.89
2022-02-19,2859.71
2022-02-20,3508.33
2022-02-21,3317.73
2022-02-22,3251.98
2022-02-23,3660.02
2022-02-24,3806.93
2022-02-25,3797.77
2022-02-26,3287.01
2022-02-27,3466.05
2022-02-28,3677.85
2022-03-01,3890.42
2022-03-02,3472.92
2022-03-03,3579.5
2022-03-04,3321.44
2022-03-05,3312.24
2022-03-06,3932.22
2022-03-07,4112.31
2022-03-08,3700.4
2022-03-09,4039.23
2022-03-10,3862.42
2022-03-11,3575.75
2022-03-12,3892.64
2022-03-13,4260.16
2022-03-14,3802.11
2022-03-15,4295.94
2022-03-16,3053.9
2022-03-17,4099.23
2022-03-18,3891.19
2022-03-19,3787.37
2022-03-20,3916.15
2022-03-21,3303.48
2022-03-22,3844.54
2022-03-23,4027.83
2022-03-24,4373.89
2022-03-25,3784.42
2022-03-26,3706.29
2022-03-27,3806.82
2022-03-28,4240.02
2022-03-29,4071.65
2022-03-30,3821.27
2022-03-31,4140.91
2022-04-01,4022.34
2022-04-02,4289.66
2022-04-03,3793.85
2022-04-04,3911.12
2022-04-05,3896.3
2022-04-06,3578.95
2022-04-07,4110.47
2022-04-08,4103.14
2022-04-09,4029.1
2022-04-10,3959.49
2022-04-11,3607.12
2022-04-12,3906.96
2022-04-13,3931.32
2022-04-14,3794.0
2022-04-15,3986.41
2022-04-16,4155.69
2022-04-17,4599.58
2022-04-18,4084.92
2022-04-19,4108.21
2022-04-20,4006.57
2022-04-21,3450.82
2022-04-22,4015.62
2022-04-23,4038.34
2022-04-24,4755.53
2022-04-25,3954.72
2022-04-26,4098.36
2022-04-27,3992.54
2022-04-28,3647.0
2022-04-29,4334.7
2022-04-30,4211.28
2022-05-01,4216.47
2022-05-02,3699.41
2022-05-03,4385.74
2022-05-04,3536.65
2022-05-05,4125.17
2022-05-06,4597.79
2022-05-07,3634.67
2022-05-08,3752.74
2022-05-09,3942.96
2022-05-10,3752.11
2022-05-11,3427.68
2022-05-12,3902.82
2022-05-13,3552.59
2022-05-14,4002.06
2022-05-15,3572.51
2022-05-16,4301.35
2022-05-17,3589.1
2022-05-18,3714.84
2022-05-19,4042.59
2022-05-20,3416.04
2022-05-21,3840.0
2022-05-22,4150.07
