Server_Region,GPU_Hardware,User_Tier,Primary_Workload,Termination_Reason,Session_Duration_Hours,Avg_Compute_Utilization_Pct,RAM_Allocated_GB,Network_Bandwidth_Used_GB,Total_Cost_USD,Session_Start_Date,Session_End_Date
ap-southeast-1,A100 80GB,Free,Web App Hosting,User_Stopped,37.3,85,64,194.17,146.14,2026-01-09 23:08:00,2026-01-11 12:26:00
us-east-1,A100 80GB,Free,PyTorch Training,Hardware_Fault,56.2,11,16,128.85,133.3,2026-02-04 22:53:00,2026-02-07 07:05:00
us-east-1,T4,Free,Web App Hosting,User_Stopped,23.6,4,16,185.04,17.86,2026-03-08 22:26:00,2026-03-09 22:02:00
ap-southeast-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,User_Stopped,23.5,84,32,179.03,100.9,2026-01-08 10:52:00,2026-01-09 10:22:00
eu-central-1,CPU-Only,Pro,Relational Database,Hardware_Fault,28.1,49,16,210.34,128.01,2026-04-05 21:10:00,2026-04-07 01:16:00
us-east-1,CPU-Only,Pro,PyTorch Training,CUDA_Out_Of_Memory,28.6,48,16,143.92,126.8,2026-04-16 23:58:00,2026-04-18 04:34:00
ap-southeast-1,CPU-Only,Free,Web App Hosting,Hardware_Fault,43.2,12,32,135.35,24.33,2026-04-01 19:27:00,2026-04-03 14:39:00
ap-southeast-1,A100 80GB,Enterprise,PyTorch Training,Out_of_Credit,66.2,2,64,38.71,99.01,2026-02-05 01:04:00,2026-02-07 19:16:00
eu-central-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,Hardware_Fault,20.6,43,16,83.72,144.04,2026-01-22 08:20:00,2026-01-23 04:56:00
us-east-1,RTX 4090,Enterprise,Web App Hosting,User_Stopped,40.9,52,64,237.95,123.42,2026-01-23 14:07:00,2026-01-25 07:01:00
ap-southeast-1,T4,Enterprise,Web App Hosting,User_Stopped,10.3,91,32,149.36,148.71,2026-01-20 01:29:00,2026-01-20 11:47:00
us-east-1,T4,Enterprise,PyTorch Training,Hardware_Fault,55.7,15,16,199.23,125.9,2026-02-27 09:51:00,2026-03-01 17:33:00
ap-southeast-1,A100 80GB,Free,PyTorch Training,Out_of_Credit,18.0,40,64,97.72,138.69,2026-01-24 10:02:00,2026-01-25 04:02:00
us-east-1,T4,Free,Relational Database,User_Stopped,39.5,80,32,246.23,129.03,2026-02-01 09:12:00,2026-02-03 00:42:00
eu-central-1,RTX 4090,Enterprise,Relational Database,Hardware_Fault,40.5,93,128,129.98,120.56,2026-03-10 17:27:00,2026-03-12 09:57:00
us-east-1,A100 80GB,Enterprise,ComfyUI / Stable Diffusion,Out_of_Credit,52.8,4,32,102.82,60.2,2026-03-16 15:21:00,2026-03-18 20:09:00
eu-central-1,CPU-Only,Free,Web App Hosting,Hardware_Fault,11.8,10,32,19.45,67.98,2026-03-09 21:10:00,2026-03-10 08:58:00
ap-southeast-1,CPU-Only,Free,ComfyUI / Stable Diffusion,Out_of_Credit,11.2,44,128,122.69,63.72,2026-04-19 15:31:00,2026-04-20 02:43:00
eu-central-1,T4,Enterprise,Web App Hosting,CUDA_Out_Of_Memory,21.7,21,16,93.71,114.62,2026-04-18 09:48:00,2026-04-19 07:30:00
eu-central-1,CPU-Only,Enterprise,Web App Hosting,Out_of_Credit,54.4,73,32,185.71,111.32,2026-03-06 18:32:00,2026-03-09 00:56:00
eu-central-1,A100 80GB,Enterprise,Relational Database,CUDA_Out_Of_Memory,34.5,51,128,247.12,106.55,2026-02-23 11:48:00,2026-02-24 22:18:00
eu-central-1,T4,Free,Relational Database,User_Stopped,5.3,78,16,119.34,130.03,2026-03-15 16:18:00,2026-03-15 21:36:00
eu-central-1,CPU-Only,Pro,PyTorch Training,Out_of_Credit,20.0,83,16,120.49,30.68,2026-02-26 11:15:00,2026-02-27 07:15:00
eu-central-1,RTX 4090,Enterprise,Web App Hosting,Hardware_Fault,58.0,45,16,153.26,52.58,2026-02-10 09:17:00,2026-02-12 19:17:00
eu-central-1,T4,Pro,ComfyUI / Stable Diffusion,User_Stopped,70.4,66,64,149.22,149.21,2026-03-09 10:42:00,2026-03-12 09:06:00
ap-southeast-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,Out_of_Credit,62.1,37,64,120.5,35.91,2026-03-19 02:23:00,2026-03-21 16:29:00
eu-central-1,CPU-Only,Pro,Relational Database,CUDA_Out_Of_Memory,15.9,6,128,106.74,112.85,2026-02-07 19:55:00,2026-02-08 11:49:00
eu-central-1,CPU-Only,Pro,Relational Database,CUDA_Out_Of_Memory,31.7,80,16,102.94,33.8,2026-01-14 07:03:00,2026-01-15 14:45:00
us-east-1,RTX 4090,Pro,ComfyUI / Stable Diffusion,Hardware_Fault,37.1,64,16,29.71,50.78,2026-04-26 10:23:00,2026-04-27 23:29:00
eu-central-1,CPU-Only,Pro,Relational Database,Out_of_Credit,30.4,60,32,247.12,147.38,2026-04-12 12:15:00,2026-04-13 18:39:00
us-east-1,A100 80GB,Pro,Web App Hosting,User_Stopped,44.1,36,16,141.38,133.61,2026-01-01 02:29:00,2026-01-02 22:35:00
ap-southeast-1,T4,Free,ComfyUI / Stable Diffusion,User_Stopped,43.4,56,128,79.07,72.77,2026-04-04 11:38:00,2026-04-06 07:02:00
eu-central-1,T4,Enterprise,Web App Hosting,CUDA_Out_Of_Memory,7.0,20,128,8.99,5.72,2026-01-24 02:18:00,2026-01-24 09:18:00
us-east-1,T4,Free,ComfyUI / Stable Diffusion,User_Stopped,25.9,30,16,59.77,85.08,2026-03-27 11:20:00,2026-03-28 13:14:00
ap-southeast-1,RTX 4090,Free,Web App Hosting,Hardware_Fault,46.4,0,32,173.6,105.0,2026-01-11 03:32:00,2026-01-13 01:56:00
ap-southeast-1,A100 80GB,Enterprise,Web App Hosting,CUDA_Out_Of_Memory,30.4,16,32,58.23,123.41,2026-01-28 19:15:00,2026-01-30 01:39:00
ap-southeast-1,T4,Free,Web App Hosting,CUDA_Out_Of_Memory,66.5,53,64,141.78,72.74,2026-02-25 03:03:00,2026-02-27 21:33:00
ap-southeast-1,T4,Free,ComfyUI / Stable Diffusion,User_Stopped,53.1,76,32,246.26,7.2,2026-01-10 21:25:00,2026-01-13 02:31:00
ap-southeast-1,A100 80GB,Free,ComfyUI / Stable Diffusion,CUDA_Out_Of_Memory,44.6,87,64,17.34,138.67,2026-02-08 04:39:00,2026-02-10 01:15:00
us-east-1,CPU-Only,Free,Relational Database,Out_of_Credit,38.9,36,64,146.42,48.63,2026-03-21 07:37:00,2026-03-22 22:31:00
eu-central-1,T4,Pro,Relational Database,Hardware_Fault,31.5,70,32,248.35,147.98,2026-04-13 14:03:00,2026-04-14 21:33:00
ap-southeast-1,RTX 4090,Pro,Relational Database,CUDA_Out_Of_Memory,69.8,20,128,178.89,129.82,2026-02-12 09:53:00,2026-02-15 07:41:00
ap-southeast-1,A100 80GB,Enterprise,PyTorch Training,User_Stopped,45.2,84,128,33.82,25.89,2026-03-07 23:55:00,2026-03-09 21:07:00
us-east-1,RTX 4090,Pro,Relational Database,Out_of_Credit,32.1,77,64,128.3,41.39,2026-02-01 03:58:00,2026-02-02 12:04:00
eu-central-1,T4,Enterprise,ComfyUI / Stable Diffusion,Hardware_Fault,28.4,32,16,231.28,71.59,2026-01-20 23:14:00,2026-01-22 03:38:00
us-east-1,CPU-Only,Enterprise,PyTorch Training,Hardware_Fault,20.8,15,128,51.9,97.32,2026-02-08 18:34:00,2026-02-09 15:22:00
eu-central-1,RTX 4090,Enterprise,Web App Hosting,Hardware_Fault,33.8,53,16,61.11,14.93,2026-03-24 01:46:00,2026-03-25 11:34:00
eu-central-1,A100 80GB,Pro,Relational Database,Out_of_Credit,13.5,66,128,177.61,129.09,2026-04-04 14:08:00,2026-04-05 03:38:00
eu-central-1,CPU-Only,Free,PyTorch Training,CUDA_Out_Of_Memory,46.8,25,32,7.52,126.46,2026-04-18 02:29:00,2026-04-20 01:17:00
ap-southeast-1,RTX 4090,Pro,Web App Hosting,CUDA_Out_Of_Memory,24.4,37,32,163.74,122.38,2026-02-03 23:23:00,2026-02-04 23:47:00
ap-southeast-1,RTX 4090,Pro,PyTorch Training,Out_of_Credit,13.5,33,64,183.94,137.8,2026-04-19 07:09:00,2026-04-19 20:39:00
us-east-1,RTX 4090,Pro,Relational Database,User_Stopped,48.8,25,64,200.22,31.91,2026-03-17 15:57:00,2026-03-19 16:45:00
eu-central-1,A100 80GB,Enterprise,Web App Hosting,CUDA_Out_Of_Memory,11.7,49,32,217.94,73.35,2026-02-18 20:19:00,2026-02-19 08:01:00
eu-central-1,A100 80GB,Enterprise,Web App Hosting,Hardware_Fault,52.6,29,128,132.88,31.58,2026-04-26 22:43:00,2026-04-29 03:19:00
eu-central-1,T4,Free,Web App Hosting,User_Stopped,54.3,67,64,121.73,135.25,2026-03-24 20:19:00,2026-03-27 02:37:00
ap-southeast-1,RTX 4090,Enterprise,Relational Database,Out_of_Credit,40.6,91,16,134.35,123.7,2026-02-27 03:30:00,2026-02-28 20:06:00
ap-southeast-1,T4,Free,Relational Database,Hardware_Fault,4.3,19,16,174.06,19.11,2026-02-17 12:37:00,2026-02-17 16:55:00
us-east-1,RTX 4090,Free,PyTorch Training,User_Stopped,63.9,26,32,203.27,92.23,2026-03-20 21:34:00,2026-03-23 13:28:00
eu-central-1,CPU-Only,Enterprise,Relational Database,CUDA_Out_Of_Memory,6.9,12,16,224.6,57.4,2026-02-03 19:10:00,2026-02-04 02:04:00
eu-central-1,CPU-Only,Pro,ComfyUI / Stable Diffusion,User_Stopped,27.2,51,32,132.58,78.2,2026-01-21 03:09:00,2026-01-22 06:21:00
eu-central-1,RTX 4090,Free,ComfyUI / Stable Diffusion,Hardware_Fault,23.0,11,128,87.31,88.55,2026-02-19 05:28:00,2026-02-20 04:28:00
us-east-1,RTX 4090,Free,Web App Hosting,User_Stopped,37.8,80,16,231.27,84.11,2026-02-12 16:41:00,2026-02-14 06:29:00
ap-southeast-1,A100 80GB,Pro,Web App Hosting,CUDA_Out_Of_Memory,23.4,94,16,22.51,121.23,2026-04-19 22:26:00,2026-04-20 21:50:00
ap-southeast-1,RTX 4090,Free,Relational Database,CUDA_Out_Of_Memory,39.0,57,16,190.35,5.06,2026-02-12 21:47:00,2026-02-14 12:47:00
us-east-1,CPU-Only,Pro,Web App Hosting,CUDA_Out_Of_Memory,58.2,93,128,100.48,12.15,2026-02-07 18:50:00,2026-02-10 05:02:00
us-east-1,T4,Enterprise,Relational Database,CUDA_Out_Of_Memory,47.5,14,16,135.71,9.96,2026-04-16 01:02:00,2026-04-18 00:32:00
us-east-1,T4,Free,ComfyUI / Stable Diffusion,Hardware_Fault,23.9,36,16,213.68,104.75,2026-01-22 00:30:00,2026-01-23 00:24:00
eu-central-1,A100 80GB,Free,Relational Database,Out_of_Credit,22.1,38,128,51.55,32.43,2026-03-10 11:05:00,2026-03-11 09:11:00
ap-southeast-1,RTX 4090,Free,Web App Hosting,Out_of_Credit,66.8,30,128,160.14,119.52,2026-01-17 10:19:00,2026-01-20 05:07:00
eu-central-1,T4,Enterprise,Web App Hosting,CUDA_Out_Of_Memory,14.2,3,32,29.1,140.89,2026-01-10 22:40:00,2026-01-11 12:52:00
eu-central-1,CPU-Only,Enterprise,ComfyUI / Stable Diffusion,User_Stopped,15.1,8,64,110.95,118.4,2026-02-15 01:20:00,2026-02-15 16:26:00
us-east-1,T4,Free,Web App Hosting,Hardware_Fault,67.6,21,64,11.29,30.07,2026-01-25 13:18:00,2026-01-28 08:54:00
